Identifiant unique ,Données renseignées de l'AMAP ,,,,,"Commune, code commune INSEE",,Bassin de vie,,Zone d'emploi,,Coordonnées,,Autre,
id,amap,adresse,rue,code_postal,commune_renseignee,commune_corrigee,CODGEO,BV2022,LIBBV2022,ZE2020,LIBZE2020,latitude,longitude,doublon (1 si oui),Rq
id_70,Amap Du Pré De L'Eau - Gresivaudan,"1525 Route de la Doux
38330
Montbonnot-Saint-Martin",1525 Route de la Doux,CP_38330,Montbonnot-Saint-Martin,Montbonnot-Saint-Martin,CI_38249,BV_38185,Grenoble,ZE_8409,Grenoble,"45,2308338","5,8074002",,
id_71,Amap Du Toison,"3 Rue du Ban Thévenin
01800
Meximieux",3 Rue du Ban Thévenin,CP_01800,Meximieux,Meximieux,CI_01244,BV_01244,Meximieux,ZE_8405,Bourg en Bresse,"45,9050348","5,1961667",,
id_72,"
Amap Du Vorz - St-Mury - Ste-Agnès - Gresivaudan","Les Gîtes
38190
Saint-Mury-Monteymond",Les Gîtes,CP_38190,Saint-Mury-Monteymond,Saint-Mury-Monteymond,CI_38430,BV_38185,Grenoble,ZE_8409,Grenoble,45.2736,5.9216,,
id_73,Amap Dyke,"43000
Aiguilhe",,CP_43000,Aiguilhe,Aiguilhe,CI_43002,BV_43157,Le Puy-en-Velay,ZE_8419,Le Puy en Velay,"45,0506329","3,8842058",,
id_74,Amap En Forez,"13 Place Pasteur
42600
Montbrison",13 Place Pasteur,CP_42600,Montbrison,Montbrison,CI_42147,BV_42147,Montbrison,ZE_8412,La Plaine du Forez,"45,6082038","4,0658361",,
id_75,Amap Entrepote (Charlieu),"Rue du Pont de Pierre
42190
Charlieu",Rue du Pont de Pierre,CP_42190,Charlieu,Charlieu,CI_42052,BV_42052,Charlieu,ZE_8426,Roanne,"46,1550205","4,1755085",,
id_76,Amap Eymes Ton Amap - Gresivaudan,"Chemin de la Touvière
38330
Saint-Nazaire-les-Eymes",Chemin de la Touvière,CP_38330,Saint-Nazaire-les-Eymes,Saint-Nazaire-les-Eymes,CI_38431,BV_38185,Grenoble,ZE_8409,Grenoble,"45,2502483","5,8497861",,
id_77,Amap Flanc De Coteaux -Agglo Grenobloise,"40 Rue des Ciments
38180
Seyssins",40 Rue des Ciments,CP_38180,Seyssins,Seyssins,CI_38486,BV_38185,Grenoble,ZE_8409,Grenoble,"45,154896","5,6897152",,
id_78,Amap Fonsala,"Place de l'Ile de France
42400
Saint-Chamond",Place de l'Ile de France,CP_42400,Saint-Chamond,Saint-Chamond,CI_42207,BV_42218,Saint-Étienne,ZE_8428,Saint Etienne,"45,4751722","4,5333947",,
id_79,Amap Grandrisienne,"733 Rue Ecoles
69870
Grandris",733 Rue Ecoles,CP_69870,Grandris,Grandris,CI_69093,BV_69006,Amplepuis,ZE_8430,Tarare,"46,0376006","4,4752355",,
id_80,Amap Haricologik,"36 Avenue la Bruyère
38100
Grenoble",36 Avenue la Bruyère,CP_38100,Grenoble,Grenoble,CI_38185,BV_38185,Grenoble,ZE_8409,Grenoble,"45,1672555","5,7330267",,
id_81,Amap Haut Allier,"Avenue Danton
43300
Langeac",Avenue Danton,CP_43300,Langeac,Langeac,CI_43112,BV_43112,Langeac,ZE_8419,Le Puy en Velay,"45,0934791","3,5013082",,
id_82,Amap La Barguillère,"Halle Saint-volusien
09000
Foix",Halle Saint-volusien,CP_09000,Foix,Foix,CI_09122,BV_09122,Foix,ZE_7612,Foix-Pamiers,"42,96666685","1,606596226",,
id_83,Amap La Bataillouse,"Cour De L'Ancienne Halte-Garderie, Rue Du Vieux Pont
32550
Pavie","Cour De L'Ancienne Halte-Garderie, Rue Du Vieux Pont",CP_32550,Pavie,Pavie,CI_32307,BV_32013,Auch,ZE_7604,Auch,43.577,0.5183,,
id_84,Amap La Cagette De Genas,"5 Rue du Pensionnat
69740
Genas",5 Rue du Pensionnat,CP_69740,Genas,Genas,CI_69277,BV_69123,Lyon,ZE_8421,Lyon,"45,73639495","5,015205912",,
id_85,"
Amap La Goutte D'Eau - Gresivaudan","39 Route du Soubon
38420
Revel",39 Route du Soubon,CP_38420,Revel,Revel,CI_38334,BV_38185,Grenoble,ZE_8409,Grenoble,"45,186356","5,873546",,
id_86,Amap La Guinguette - Agglo Grenobloise,"30 Rue de la Liberté
38600
Fontaine",30 Rue de la Liberté,CP_38600,Fontaine,Fontaine,CI_38169,BV_38185,Grenoble,ZE_8409,Grenoble,"45,1911674","5,6994565",,
id_87,Amap La Plaine - Agglo Grenobloise,"24 Avenue du 8 Mai 1945
38400
Saint-Martin-d'Hères",24 Avenue du 8 Mai 1945,CP_38400,Saint-Martin-d'Hères,Saint-Martin-d'Hères,CI_38421,BV_38185,Grenoble,ZE_8409,Grenoble,"45,1699421","5,7557074",,
id_88,Amap La Soupe Au Caillou - Gresivaudan,"La Richardière
38410
Saint-Martin-D'Uriage",La Richardière,CP_38410,Saint-Martin-D'Uriage,Saint-Martin-d'Uriage,CI_38422,BV_38185,Grenoble,ZE_8409,Grenoble,"45,14342745","5,83508531",,
id_89,Amap La Soupe Au Chug - Grenoble,"Boulevard de la Chantourne
38700
La Tronche",Boulevard de la Chantourne,CP_38700,La Tronche,La Tronche,CI_38516,BV_38185,Grenoble,ZE_8409,Grenoble,"45,1992174","5,7557079",,
id_90,Amap La Tricastine,"Place Chausy
26130
Saint-Paul-Trois-Châteaux",Place Chausy,CP_26130,Saint-Paul-Trois-Châteaux,Saint-Paul-Trois-Châteaux,CI_26324,BV_26324,Saint-Paul-Trois-Châteaux,ZE_0055,Bollène-Pierrelatte,"44,3475195","4,770148948",,
id_91,Amap L'Alloix - Gresivaudan,"847 Rue Aimé Paquet
38660
Saint-Vincent-de-Mercuze",847 Rue Aimé Paquet,CP_38660,Saint-Vincent-de-Mercuze,Saint-Vincent-de-Mercuze,CI_38466,BV_38511,Le Touvet,ZE_8409,Grenoble,"45,3791829","5,950186",,
id_92,Amap L'Aneth,"74700
Sallanches

",,CP_74700,Sallanches,Sallanches,CI_74256,BV_74256,Sallanches,ZE_8418,Le Mont Blanc,"45,9361246","6,6302551",,
id_93,"
Amap Larajasse","Place Des Platanes
69590
Larajasse",Place Des Platanes,CP_69590,Larajasse,Larajasse,CI_69110,BV_69238,Saint-Symphorien-sur-Coise,ZE_8428,Saint Etienne,45.6131,4.4743,,
id_94,"
Amap Le Panier De Mélusine","Esplanade De La Mairie
26120
Montelier",Esplanade De La Mairie,CP_26120,Montelier,Montélier,CI_26197,BV_26064,Chabeuil,ZE_8431,Valence,44.9003,5.0945,,
id_95,Amap Le Panier Des Vérités,"26 Rue Winston Churchill
03120
Lapalisse",26 Rue Winston Churchill,CP_03120,Lapalisse,Lapalisse,CI_03138,BV_03138,Lapalisse,ZE_8432,Vichy,"46,249163","3,6345057",,
id_96,"
Amap Le Panier Fontainois - Agglo Grenobloise","14 Boulevard Joliot Curie
38600
Fontaine",14 Boulevard Joliot Curie,CP_38600,Fontaine,Fontaine,CI_38169,BV_38185,Grenoble,ZE_8409,Grenoble,"45,1868779","5,6919526",,
id_97,Amap Le Panier Terrasson - Gresivaudan,"102 Place de la Mairie
38660
La Terrasse",102 Place de la Mairie,CP_38660,La Terrasse,La Terrasse,CI_38503,BV_38511,Le Touvet,ZE_8409,Grenoble,"45,3237624","5,9308508",,
